order	family	subfamily	genus	subgenus	species	common_name	gaa_name	synonymies	itis_names	iucn	isocc	intro_isocc	aweb_uid	uri/guid	taxon_notes_public
Anura	Allophrynidae		Allophryne		relicta						BR		8097	https://amphibiaweb.org/species/8097	
Anura	Allophrynidae		Allophryne		resplendens						PE		7786	https://amphibiaweb.org/species/7786	
Anura	Allophrynidae		Allophryne		ruthveni	Tukeit-Hill Frog	Allophryne ruthveni		Sphaenorhynchus seabrai, Sphoenohyla seabrai	Least Concern (LC)	VE,SR,GY,GF,BR		2059	https://amphibiaweb.org/species/2059	
Anura	Alsodidae		Alsodes		australis		Alsodes australis			Data Deficient (DD)	CL,AR		5715	https://amphibiaweb.org/species/5715	
Anura	Alsodidae		Alsodes		barrioi		Alsodes barrioi			Vulnerable (VU)	CL		2552	https://amphibiaweb.org/species/2552	
Anura	Alsodidae		Alsodes		cantillanensis						CL		8311	https://amphibiaweb.org/species/8311	
Anura	Alsodidae		Alsodes		coppingeri				Eupsophus coppingeri		CL		7307	https://amphibiaweb.org/species/7307	
Anura	Alsodidae		Alsodes		gargola		Alsodes gargola			Least Concern (LC)	AR,CL		2553	https://amphibiaweb.org/species/2553	
Anura	Alsodidae		Alsodes		hugoi		Alsodes hugoi			Data Deficient (DD)	CL		5836	https://amphibiaweb.org/species/5836	
Anura	Alsodidae		Alsodes		igneus		Alsodes igneus			Data Deficient (DD)	CL		6427	https://amphibiaweb.org/species/6427	
Anura	Alsodidae		Alsodes		kaweshkari		Alsodes kaweshkari			Data Deficient (DD)	CL		5716	https://amphibiaweb.org/species/5716	
Anura	Alsodidae		Alsodes		montanus		Alsodes montanus		Telmatobius montanus	Critically Endangered (CR)	AR,CL		2555	https://amphibiaweb.org/species/2555	
Anura	Alsodidae		Alsodes		monticola		Alsodes monticola		Eupsophus monticola	Data Deficient (DD)	CL		2556	https://amphibiaweb.org/species/2556	
Anura	Alsodidae		Alsodes		neuquensis						AR		7893	https://amphibiaweb.org/species/7893	
Anura	Alsodidae		Alsodes		nodosus		Alsodes nodosus		Eupsophus illotus, Eupsophus nodosus	Near Threatened (NT)	AR,CL		2557	https://amphibiaweb.org/species/2557	
Anura	Alsodidae		Alsodes		norae						CL		7115	https://amphibiaweb.org/species/7115	
Anura	Alsodidae		Alsodes		pehuenche		Alsodes pehuenche			Data Deficient (DD)	AR,CL		2558	https://amphibiaweb.org/species/2558	
Anura	Alsodidae		Alsodes		tumultuosus		Alsodes tumultuosus			Critically Endangered (CR)	CL		2559	https://amphibiaweb.org/species/2559	
Anura	Alsodidae		Alsodes		valdiviensis		Alsodes valdiviensis			Data Deficient (DD)	CL		6428	https://amphibiaweb.org/species/6428	
Anura	Alsodidae		Alsodes		vanzolinii	Vanzolini's Spiny-Chest Frog	Alsodes vanzolinii			Critically Endangered (CR)	CL		2560	https://amphibiaweb.org/species/2560	
Anura	Alsodidae		Alsodes		verrucosus		Alsodes verrucosus			Data Deficient (DD)	AR,CL		2561	https://amphibiaweb.org/species/2561	
Anura	Alsodidae		Alsodes		vittatus		Alsodes vittatus			Data Deficient (DD)	CL		2562	https://amphibiaweb.org/species/2562	
Anura	Alsodidae		Eupsophus		calcaratus		Eupsophus calcaratus			Least Concern (LC)	CL		2625	https://amphibiaweb.org/species/2625	
Anura	Alsodidae		Eupsophus		emiliopugini		Eupsophus emiliopugini			Least Concern (LC)	CL		2627	https://amphibiaweb.org/species/2627	
Anura	Alsodidae		Eupsophus		insularis		Eupsophus insularis			Critically Endangered (CR)	CL		2628	https://amphibiaweb.org/species/2628	
Anura	Alsodidae		Eupsophus		migueli	Miguel's Toad	Eupsophus migueli	Eupsophus altor		Endangered (EN)	CL		2629	https://amphibiaweb.org/species/2629	
Anura	Alsodidae		Eupsophus		roseus		Eupsophus roseus	Eupsophus contulmoensis, Eupsophus nahuelbutensis, Eupsophus septentrionalis	Eupsophus sylvestris, Cystignathus roseus, Cystignathus sylvestris	Near Threatened (NT)	CL,AR		2631	https://amphibiaweb.org/species/2631	
Anura	Alsodidae		Eupsophus		vertebralis		Eupsophus vertebralis			Near Threatened (NT)	CL		2632	https://amphibiaweb.org/species/2632	
Anura	Alsodidae		Limnomedusa		macroglossa		Limnomedusa macroglossa		Limnomedusa misionis, Cystignathus macroglossus, Litopleura maritimum	Least Concern (LC)	UY,BR,AR		2649	https://amphibiaweb.org/species/2649	
Anura	Alytidae	Alytinae	Alytes	Ammoryctis	cisternasii	Iberian midwife toad, Ibersiche geburtshelferkroete, Gripau paridor ibèrec, Iberisk Fødselshjælperfrø, Ibeeria köidikkonn, sapo partero ibérico, sapo partero de cisternas, Apotzar, Alyte de cisternas,	Alytes cisternasii			Near Threatened (NT)	ES,PT		1519	https://amphibiaweb.org/species/1519	
Anura	Alytidae	Alytinae	Alytes	Baleaphryne	dickhilleni	Midwife toad of Hillenius, Betic midwife toad, sapo partero bético, sapo-parteiro-bético	Alytes dickhilleni			Vulnerable (VU)	ES		1520	https://amphibiaweb.org/species/1520	
Anura	Alytidae	Alytinae	Alytes	Baleaphryne	maurus		Alytes maurus			Near Threatened (NT)	DZ,MA		6244	https://amphibiaweb.org/species/6244	
Anura	Alytidae	Alytinae	Alytes	Baleaphryne	muletensis	Mallorcan midwife toad, Ferreret, Balearenkroete, Baleaari köidikkonn, Sapilo Balear, Alyte de Majorque, Alyte Balearico, Rospo Ostetrico Balearico, balearen vroedmeesterpad	Alytes muletensis			Vulnerable (VU)	ES		1521	https://amphibiaweb.org/species/1521	
Anura	Alytidae	Alytinae	Alytes	Alytes	obstetricans	Midwife toad, Tòtil, Gripau llevador, Fødselshjælperfrø, geburtshelferkroete, glockenfrosch, harilik köidikkonn, sapo partero comùn, txantxiku arrunta, alyte accoucheur, crapaud accroucheur, sapo part	Alytes obstetricans			Least Concern (LC)	BE,FR,DE,IT,LU,NL,PT,ES,CH,GB	GB	1522	https://amphibiaweb.org/species/1522	
